,Overall,,R1,C,L1,L.2,R2,,,,,
,ACC,PRC,ACC,ACC,ACC,ACC,ACC,,,,,
P1,241.65889390000000 ,46.96805725390110 ,263.01490000000000 ,155.60284100000000 ,230.02897150000000 ,272.08173475000000 ,287.56602225000000 ,,,,,
P2,241.47647805000000 ,61.69809169691720 ,285.19490000000000 ,199.96062225000000 ,294.01425275000000 ,139.47409050000000 ,288.73852475000000 ,,,,,
P3,217.43393200000000 ,29.10858548118530 ,243.14300000000000 ,250.41884825000000 ,185.91928525000000 ,227.56194350000000 ,180.12658300000000 ,,,,,
P4,300.09800490000000 ,61.47059497878210 ,297.82760000000000 ,418.08847325000000 ,270.30273000000000 ,243.22568925000000 ,271.04553200000000 ,,,,,
P5,257.56179310000000 ,30.78896339660890 ,264.59260000000000 ,288.51611600000000 ,242.78468225000000 ,205.68043325000000 ,286.23513400000000 ,,,,,
P6,261.21536310000000 ,37.11892509699500 ,319.83330000000000 ,268.31324575000000 ,204.02248925000000 ,250.05152050000000 ,263.85626000000000 ,,,,,
P7,250.29971480000000 ,45.51190582872970 ,205.94280000000000 ,288.18650150000000 ,320.42135000000000 ,216.13703350000000 ,220.81088900000000 ,,,,,
P8,281.46502975000000 ,93.85218216390000 ,242.20190000000000 ,256.25665700000000 ,401.07329275000000 ,139.79595425000000 ,367.99734475000000 ,,,,,
P9,273.39819835000000 ,59.24310958111330 ,318.16960000000000 ,203.73062875000000 ,268.06308625000000 ,359.94650925000000 ,217.08116750000000 ,,,,,
P10,294.15235500000000 ,66.37011446110920 ,282.82890000000000 ,274.64379075000000 ,405.42108325000000 ,308.24971550000000 ,199.61828550000000 ,,,,,
P11,356.83061270000000 ,123.49880749259800 ,376.69212775000000 ,133.24839075000000 ,460.45676425000000 ,335.71452825000000 ,478.04125250000000 ,,,,,
P12,254.97752940000000 ,7.87273311812526 ,261.87650775000000 ,241.13573950000000 ,251.94158275000000 ,262.38597900000000 ,257.54783800000000 ,,,,,
P13,278.97540290000000 ,60.74157519533590 ,188.34982150000000 ,230.95895275000000 ,354.26586625000000 ,299.38719950000000 ,321.91517450000000 ,,,,,
P14,413.94525010000000 ,148.99473725775500 ,238.45482975000000 ,280.23201350000000 ,523.78153350000000 ,636.88346500000000 ,390.37440875000000 ,,,,,
