millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24645,1155,994,0,0,64,0,0,1,1,0.975,0.26439,0.090987,-0.960114,0.000733,0.127247,-0.991871,-54.945648,-143.476639,493.600464,-53.580963,-147.965637,494.56601,-49.651287,-150.070984,495.330475,-45.461769,-148.544693,495.446014,-43.481209,-144.284393,494.844971,-44.613613,-139.537308,494.120819,-48.791595,-137.71579,493.11496,-52.960487,-139.237076,492.99942,2.641782,-135.269028,467.060455,4.09302,-139.796448,468.823456,7.891443,-141.837112,470.935333,11.819999,-140.160797,472.159027,13.546044,-135.744583,471.77771,12.050467,-131.210297,470.014709,8.240705,-129.218903,467.902832,3.989603,-130.580383,466.730865,-22.334293,-111.805954,520.763672,-0.03535,-0.027148,-0.006865, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24698,1155,994,0,0,64,0,0,2,1,0.975,0.302525,0.117714,-0.945845,0.085067,0.127028,-0.988245,-52.529209,-136.856796,472.080719,-51.071724,-141.369003,472.438324,-46.967075,-143.42662,472.506836,-42.62569,-141.820038,472.246155,-40.594868,-137.496536,471.80899,-41.763519,-132.754089,471.693024,-46.154411,-130.941422,471.382904,-50.489895,-132.539307,471.643555,3.724105,-136.349792,469.61557,5.22018,-140.92247,471.669922,9.039254,-142.885086,474.079559,12.952064,-141.047485,475.432892,14.63061,-136.48317,474.937195,13.083736,-131.906372,472.882843,9.25351,-130.001007,470.473206,5.008075,-131.515121,469.138397,-22.327705,-111.925987,518.385864,-0.05255,-0.021994,-0.013018, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24741,1155,994,0,0,64,0,0,3,1,0.975,0.298993,0.117509,-0.946993,0.08448,0.127524,-0.988231,-51.997417,-135.354492,466.903503,-50.506012,-139.817886,467.104462,-46.387489,-141.801315,466.959259,-42.061897,-140.141968,466.552948,-40.064011,-135.819534,466.123566,-41.252274,-131.130798,466.156982,-45.664635,-129.384903,466.06781,-49.988949,-131.033417,466.474121,3.75299,-136.708664,470.819214,5.248456,-141.267593,472.910339,9.073159,-143.208008,475.311554,12.99367,-141.352921,476.616272,14.677235,-136.787231,476.060211,13.130657,-132.225815,473.969116,9.295995,-130.342438,471.567902,5.044629,-131.871078,470.279755,-22.369776,-112.083763,518.826477,-0.04989,-0.022505,-0.012231, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24773,1155,994,0,0,64,0,0,4,1,0.975,0.292543,0.118135,-0.948927,0.085461,0.131151,-0.987672,-52.092255,-135.780167,468.331055,-50.606934,-140.235199,468.51416,-46.497772,-142.21022,468.335297,-42.179676,-140.54776,467.899292,-40.182571,-136.229675,467.461487,-41.362442,-131.550003,467.510223,-45.766644,-129.811661,467.457245,-50.084114,-131.462814,467.89328,3.810231,-135.960388,468.515137,5.297701,-140.544174,470.564697,9.098522,-142.522964,473.013458,12.994966,-140.696518,474.42691,14.668468,-136.13089,473.977112,13.129978,-131.541672,471.927551,9.316793,-129.621017,469.47879,5.086187,-131.125565,468.081543,-22.328928,-112.052696,518.798645,-0.049491,-0.022044,-0.011496, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24806,1155,994,0,0,64,0,0,5,1,0.975,0.292754,0.115132,-0.949231,0.087283,0.127483,-0.987993,-52.175129,-136.001984,468.986084,-50.702034,-140.483337,469.279236,-46.598644,-142.497543,469.22583,-42.276012,-140.862015,468.857147,-40.268833,-136.542389,468.38916,-41.445026,-131.832489,468.32959,-45.838554,-130.061203,468.149414,-50.157574,-131.686066,468.518097,3.838107,-136.57373,470.449219,5.352476,-141.136261,472.497009,9.186979,-143.083832,474.88327,13.102814,-141.235565,476.210175,14.770377,-136.671616,475.70047,13.20544,-132.10553,473.652679,9.360466,-130.2146,471.266418,5.111648,-131.740311,469.960114,-22.291182,-112.019806,518.723511,-0.04705,-0.021987,-0.012255, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24849,1155,994,0,0,64,0,0,6,1,0.975,0.28945,0.114188,-0.950358,0.085671,0.135125,-0.987118,-52.953346,-138.31366,476.725067,-51.519764,-142.841568,477.185059,-47.440189,-144.934128,477.384979,-43.109558,-143.359238,477.207703,-41.070892,-139.0448,476.757141,-42.225735,-134.283417,476.540955,-46.585464,-132.440674,476.09726,-50.90736,-134.008072,476.274506,3.839733,-136.686569,471.219635,5.364898,-141.265656,473.180511,9.202182,-143.245209,475.538544,13.112152,-141.42627,476.912415,14.769701,-136.870193,476.497314,13.195437,-132.285156,474.536438,9.346245,-130.361252,472.178406,5.100706,-131.863144,470.832581,-22.288208,-112.138695,519.03418,-0.047966,-0.022475,-0.011688, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24882,1155,994,0,0,64,0,0,7,1,0.975,0.283443,0.108496,-0.952832,0.072116,0.133749,-0.988388,-52.864052,-137.834091,475.134247,-51.366253,-142.290115,475.551361,-47.276321,-144.264832,475.542023,-42.998943,-142.597366,475.111694,-41.043705,-138.273514,474.512451,-42.249592,-133.579727,474.316681,-46.624508,-131.861313,474.104675,-50.896282,-133.516052,474.535004,3.590766,-136.52269,470.957794,5.089807,-141.093842,472.906586,8.907789,-143.085403,475.241455,12.816627,-141.291946,476.594666,14.492165,-136.759827,476.173492,12.944534,-132.182755,474.224701,9.114669,-130.246124,471.889832,4.873389,-131.721268,470.565826,-22.339111,-112.17643,519.262451,-0.048333,-0.021707,-0.012898, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24915,1155,994,0,0,64,0,0,8,1,0.975,0.198141,0.122248,-0.97252,-0.057956,0.133952,-0.989292,-56.353416,-144.067123,497.853882,-54.905426,-148.524658,498.349152,-50.860489,-150.512329,498.286377,-46.599018,-148.861404,497.702301,-44.621483,-144.55011,496.939087,-45.769451,-139.84964,496.646271,-50.10474,-138.126831,496.506592,-54.360374,-139.762024,497.090668,1.430912,-136.675308,473.215881,3.011318,-141.187927,474.65863,6.988674,-143.196213,476.295685,11.037511,-141.496399,477.16806,12.760295,-137.081436,476.76474,11.143434,-132.564972,475.321991,7.15983,-130.595383,473.684937,2.793135,-131.992172,472.916718,-22.593182,-112.287834,519.911438,-0.049282,-0.021448,-0.016119, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24947,1155,994,0,0,64,0,0,9,1,0.975,0.182852,0.119021,-0.975909,-0.068463,0.117349,-0.990728,-57.559067,-146.965607,507.507141,-56.121311,-151.410172,508.109131,-52.099594,-153.390045,508.089966,-47.861664,-151.739944,507.460815,-45.895306,-147.438446,506.590302,-47.035297,-142.744492,506.180786,-51.345459,-141.038788,506.007477,-55.575939,-142.671951,506.636627,1.493329,-141.960922,490.57016,3.119683,-146.37413,492.080414,7.124413,-148.246231,493.505463,11.160102,-146.456345,494.010498,12.838828,-142.056137,493.299683,11.178695,-137.6474,491.789429,7.176069,-135.809555,490.36438,2.833049,-137.286087,489.968536,-22.583817,-112.327751,520.038757,-0.052555,-0.018971,-0.018653, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24968,1155,994,0,0,64,0,0,10,1,0.975,0.18378,0.125068,-0.974978,-0.067676,0.118212,-0.990679,-57.702011,-147.216064,508.44873,-56.231117,-151.637619,509.030731,-52.203484,-153.587265,509.074921,-47.988739,-151.917221,508.555389,-46.061283,-147.61618,507.776489,-47.243786,-142.944565,507.397614,-51.553017,-141.267639,507.150299,-55.760052,-142.923019,507.66983,1.488918,-141.716141,489.611969,3.109897,-146.132355,491.099518,7.104823,-148.015564,492.539978,11.132796,-146.238327,493.089539,12.810477,-141.84407,492.42627,11.15585,-137.431244,490.93869,7.161929,-135.582413,489.49823,2.825189,-137.048752,489.058319,-22.623838,-112.42524,520.222107,-0.052978,-0.019258,-0.019085, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
