millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17948,0,0,0,0,64,0,0,1,1,0.975,0.24806,0.063623,-0.966653,0.008205,0.088703,-0.996024,-64.373772,-153.316971,467.040009,-63.411663,-157.99823,468.513397,-59.749531,-160.435226,469.888611,-55.531601,-159.17543,470.360077,-53.253513,-154.957184,469.651581,-54.016155,-150.013443,468.423126,-57.914421,-147.874802,466.802948,-62.097187,-149.134033,466.331512,-4.260866,-151.352188,460.033142,-2.614949,-155.893143,461.912628,1.361817,-157.778503,463.809235,5.340117,-155.870224,464.612,6.957108,-151.289551,463.850647,5.265411,-146.753448,461.971161,1.288372,-144.91571,460.074524,-3.013478,-146.504501,459.333374,-28.777798,-117.397942,474.073334,-0.090436,-0.023893,-0.034902, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17989,0,0,0,0,64,0,0,2,1,0.975,0.281588,0.106269,-0.953633,0.049011,0.117276,-0.991889,-61.518696,-148.724014,452.3284,-60.189499,-153.429489,453.152893,-56.153385,-155.70195,453.825592,-51.777008,-154.195724,453.952423,-49.638351,-149.795822,453.459076,-50.726849,-144.850677,452.8909,-55.020508,-142.842178,451.961853,-59.376656,-144.34462,451.835052,-2.652701,-142.964279,434.02829,-1.032491,-147.588882,436.066681,2.870095,-149.518433,438.3508,6.773957,-147.5802,439.542633,8.353787,-142.909744,438.944031,6.679157,-138.285294,436.90564,2.769518,-136.41571,434.621521,-1.468693,-138.036453,433.459503,-27.596558,-117.088669,468.95163,-0.113632,-0.016057,-0.040867, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18022,0,0,0,0,64,0,0,3,1,0.975,0.283499,0.106146,-0.95308,0.046259,0.114311,-0.992367,-60.60482,-146.96756,446.468811,-59.227177,-151.666443,447.219147,-55.157242,-153.913177,447.851501,-50.780926,-152.37796,447.995422,-48.67519,-147.96225,447.56662,-49.81242,-143.026093,447.078064,-54.139126,-141.038834,446.183929,-58.496521,-142.571091,446.040009,-2.572071,-145.082077,439.970428,-0.893581,-149.663315,441.935364,3.059705,-151.540878,444.074219,6.975135,-149.575623,445.134125,8.522681,-144.920197,444.494171,6.792786,-140.340988,442.529266,2.835148,-138.519028,440.390411,-1.415119,-140.17038,439.373718,-27.479509,-117.381989,469.337769,-0.117192,-0.013789,-0.042603, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18057,0,0,0,0,64,0,0,4,1,0.975,0.27671,0.098798,-0.955861,0.042256,0.117992,-0.992115,-60.544415,-147.15004,446.442505,-59.162235,-151.794968,447.044403,-55.070168,-153.97316,447.33139,-50.671951,-152.399628,447.135376,-48.552921,-148.002884,446.571167,-49.662945,-143.127686,446.20752,-54.030457,-141.202194,445.682251,-58.416023,-142.766144,445.878265,-2.506004,-144.136688,436.768005,-0.837282,-148.742538,438.710022,3.088684,-150.655594,440.917633,6.97707,-148.714615,442.097717,8.513323,-144.055954,441.55896,6.792543,-139.449219,439.616943,2.859526,-137.593643,437.409332,-1.366964,-139.225189,436.269684,-27.40217,-117.706993,470.046692,-0.114998,-0.010575,-0.044092, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18100,0,0,0,0,64,0,0,5,1,0.975,0.288858,0.099763,-0.95216,0.054835,0.118647,-0.991421,-60.447166,-147.705719,447.580048,-59.123138,-152.428146,448.414093,-55.099785,-154.732269,449.177582,-50.734417,-153.252838,449.423309,-48.599476,-148.857254,449.007294,-49.691921,-143.896545,448.439117,-53.967793,-141.853867,447.40979,-58.311581,-143.332169,447.164063,-2.350626,-145.403412,440.406433,-0.690313,-150.009064,442.388092,3.227765,-151.916107,444.624969,7.113209,-149.966568,445.806763,8.652936,-145.302277,445.241211,6.940243,-140.696426,443.259583,3.015423,-138.847153,441.022675,-1.208238,-140.48465,439.876892,-27.425497,-118.066978,470.905365,-0.114572,-0.013567,-0.043617, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18131,0,0,0,0,64,0,0,6,1,0.975,0.293197,0.094687,-0.951352,0.064236,0.117508,-0.990992,-61.56744,-150.890289,457.023254,-60.252594,-155.591431,457.847412,-56.257301,-157.894897,458.652557,-51.921177,-156.435898,458.967041,-49.799381,-152.068726,458.606628,-50.888153,-147.130997,458.053345,-55.131897,-145.085403,456.977325,-59.446682,-146.544937,456.662842,-2.400051,-144.654297,438.147644,-0.780902,-149.28421,440.226196,3.090714,-151.207748,442.603363,6.952743,-149.254562,443.886658,8.503932,-144.568268,443.324341,6.829749,-139.937653,441.245789,2.949827,-138.075775,438.868622,-1.250907,-139.712936,437.606293,-27.76026,-118.568825,472.326691,-0.119571,-0.009831,-0.041646, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18174,0,0,0,0,64,0,0,7,1,0.975,0.289286,0.077495,-0.954101,0.062785,0.120485,-0.990728,-61.17144,-150.934921,455.968384,-60.118393,-155.68779,457.57074,-56.464958,-158.085678,459.35553,-52.344372,-156.692795,460.277252,-50.199959,-152.32077,459.795959,-51.105751,-147.291077,458.46875,-54.957924,-145.20784,456.408783,-59.036774,-146.606873,455.487091,-2.561372,-145.786545,442.109924,-0.921405,-150.408173,444.152679,2.982241,-152.321152,446.455933,6.867906,-150.3629,447.670502,8.421453,-145.680588,447.084869,6.727894,-141.059052,445.042145,2.817164,-139.20546,442.738861,-1.406722,-140.847992,441.552704,-27.869257,-118.6838,472.823425,-0.121125,-0.008822,-0.041448, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18207,0,0,0,0,64,0,0,8,1,0.975,0.223035,0.089009,-0.970738,-0.015129,0.119167,-0.992759,-64.14653,-154.652939,470.060394,-62.88007,-159.20105,470.637787,-58.925682,-161.385025,470.814636,-54.607719,-159.917984,470.487366,-52.462952,-155.667343,469.847717,-53.443417,-150.895264,469.493164,-57.683064,-148.957245,469.093475,-61.990597,-150.412918,469.420715,-4.044253,-145.030884,441.096344,-2.341295,-149.604675,442.728638,1.632898,-151.552719,444.64505,5.555677,-149.699341,445.722992,7.09749,-145.127274,445.330994,5.349787,-140.549393,443.6987,1.368004,-138.650253,441.782288,-2.891903,-140.209579,440.781586,-28.185362,-118.972168,474.161163,-0.120732,-0.010076,-0.043914, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18240,0,0,0,0,64,0,0,9,1,0.975,0.168566,0.087643,-0.981786,-0.090005,0.098731,-0.991035,-66.066795,-158.151382,480.813721,-64.823334,-162.682831,481.423523,-60.912933,-164.8918,481.739227,-56.631607,-163.475769,481.575897,-54.495728,-159.269638,481.029205,-55.466286,-154.514664,480.654297,-59.653999,-152.549026,480.103699,-63.92337,-153.957397,480.267029,-5.632167,-146.334946,444.980713,-3.892894,-150.831177,446.371826,0.18723,-152.711441,447.756866,4.217517,-150.848389,448.324493,5.811903,-146.33548,447.742188,4.037047,-141.842239,446.351044,-0.042177,-139.998642,444.966003,-4.392905,-141.56665,444.521423,-28.414272,-119.362862,475.681702,-0.115373,-0.008106,-0.047619, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18262,0,0,0,0,64,0,0,10,1,0.975,0.16759,0.09149,-0.981602,-0.096933,0.101409,-0.990111,-65.979019,-158.24234,480.853638,-64.748833,-162.779709,481.58548,-60.878212,-165.014709,482.115814,-56.637676,-163.626877,482.133972,-54.522381,-159.432541,481.629303,-55.499092,-154.666153,481.141907,-59.634392,-152.680786,480.367126,-63.859234,-154.063889,480.348969,-5.577726,-144.900482,440.764526,-3.835701,-149.393265,442.103516,0.219478,-151.292892,443.557922,4.214275,-149.459824,444.275787,5.78315,-144.967407,443.836609,4.005166,-140.473846,442.49765,-0.052735,-138.611954,441.043213,-4.373448,-140.159775,440.447113,-28.409399,-119.499352,476.159424,-0.112653,-0.003989,-0.048749, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18293,0,0,0,0,64,0,0,11,1,0.975,0.164159,0.085575,-0.982715,-0.099194,0.100635,-0.989966,-65.956436,-158.391327,480.791901,-64.690964,-162.90184,481.450439,-60.782475,-165.072891,481.773743,-56.526642,-163.623642,481.572357,-54.425438,-159.409363,480.964325,-55.420265,-154.670563,480.534058,-59.603283,-152.749481,479.982483,-63.846485,-154.189835,480.183838,-5.637018,-145.950546,443.709991,-3.848887,-150.420197,445.010132,0.24707,-152.268509,446.355682,4.251725,-150.387787,446.958435,5.795166,-145.880737,446.465332,3.97304,-141.412521,445.165222,-0.123253,-139.599533,443.819672,-4.453691,-141.195953,443.347778,-28.458735,-119.740623,476.624664,-0.112025,-0.003754,-0.048026, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
