millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
19873,1089,384,0,0,32,0,0,1, 1, 0.975000, 0.251444, 0.173530, -0.952189, 0.007611, 0.209682, -0.977740, -56.926414, -172.157532, 436.199799, -55.733288, -176.857483, 436.958984, -51.805965, -179.227707, 437.502472, -47.448700, -177.866608, 437.511871, -45.226891, -173.575409, 436.981720, -46.157955, -168.663361, 436.469513, -50.360470, -166.529251, 435.679047, -54.699409, -167.884857, 435.669647, 1.259985, -168.175705, 424.800293, 2.816491, -172.917084, 426.305084, 6.722058, -175.210648, 428.247803, 10.699041, -173.677780, 429.490448, 12.386410, -169.207977, 429.305054, 10.785533, -164.454712, 427.800262, 6.865549, -162.210739, 425.857544, 2.560523, -163.454758, 424.697357, -22.836901, -146.453140, 469.906067, -0.024405, -0.078020, -0.027005, 
19905,1089,384,0,0,32,0,0,2, 1, 0.975000, 0.284139, 0.143031, -0.948054, 0.038723, 0.152706, -0.987513, -55.254978, -168.355820, 424.552460, -54.033970, -173.082932, 425.236053, -50.056976, -175.449646, 425.686035, -45.658077, -174.057632, 425.638824, -43.425892, -169.726913, 425.122070, -44.379654, -164.793625, 424.683960, -48.634331, -162.656540, 423.988495, -53.016525, -164.042023, 424.035706, 1.912607, -166.793198, 418.736694, 3.284064, -171.614380, 420.636200, 7.042337, -173.986557, 422.940826, 10.996904, -172.477509, 424.300537, 12.793662, -167.964630, 423.918884, 11.369101, -163.134109, 422.019379, 7.595239, -160.822250, 419.714752, 3.324380, -162.010300, 418.388397, -22.619520, -146.235931, 469.651825, -0.031642, -0.074435, -0.030674, 
19938,1089,384,0,0,32,0,0,3, 1, 0.975000, 0.283394, 0.143075, -0.948271, 0.039746, 0.146837, -0.988362, -54.800671, -166.565674, 420.548187, -53.522469, -171.201935, 420.991058, -49.500420, -173.395737, 420.973389, -45.101276, -171.856552, 420.505554, -42.907227, -167.496902, 419.861633, -43.880619, -162.659607, 419.637451, -48.199886, -160.689941, 419.436432, -52.591576, -162.213730, 419.904266, 1.879321, -166.600174, 418.341858, 3.231603, -171.427170, 420.271057, 6.983703, -173.806000, 422.587250, 10.948506, -172.300217, 423.933685, 12.765516, -167.785660, 423.521606, 11.359502, -162.949921, 421.592407, 7.592088, -160.631851, 419.276215, 3.313174, -161.813065, 417.960571, -22.685604, -146.390060, 470.884735, -0.033642, -0.070499, -0.033860, 
19960,1089,384,0,0,32,0,0,4, 1, 0.975000, 0.281885, 0.140443, -0.949114, 0.038865, 0.136975, -0.989812, -55.137539, -167.580460, 423.211151, -53.873638, -172.254715, 423.759338, -49.861053, -174.513931, 423.928345, -45.458710, -173.026566, 423.619232, -43.253387, -168.672409, 423.013000, -44.227196, -163.793884, 422.693481, -48.529297, -161.762573, 422.295807, -52.920357, -163.237839, 422.604919, 1.840213, -164.922684, 414.131958, 3.198702, -169.750580, 416.031891, 6.937077, -172.141510, 418.375214, 10.877444, -170.651260, 419.789215, 12.673509, -166.145172, 419.445618, 11.261144, -161.306519, 417.545685, 7.505801, -158.977325, 415.202362, 3.248342, -160.147476, 413.818909, -22.714888, -146.257996, 470.601166, -0.038883, -0.067889, -0.034873, 
19993,1089,384,0,0,32,0,0,5, 1, 0.975000, 0.279981, 0.132831, -0.950772, 0.040341, 0.138467, -0.989545, -54.624699, -165.898087, 418.997192, -53.350998, -170.524399, 419.414764, -49.333473, -172.701019, 419.326141, -44.937405, -171.148285, 418.783234, -42.742390, -166.787888, 418.104095, -43.705017, -161.961334, 417.899078, -48.023129, -160.008652, 417.775116, -52.412918, -161.544235, 418.318024, 1.867033, -165.129395, 414.800659, 3.212112, -169.954742, 416.757080, 6.942958, -172.330139, 419.120239, 10.885439, -170.819992, 420.505829, 12.691401, -166.302475, 420.102234, 11.291571, -161.468048, 418.145813, 7.544689, -159.155045, 415.782654, 3.287076, -160.339996, 414.422516, -22.735132, -146.187027, 470.462036, -0.040478, -0.067225, -0.034814, 
20025,1089,384,0,0,32,0,0,6, 1, 0.975000, 0.277405, 0.128748, -0.952087, 0.035709, 0.133499, -0.990405, -55.085819, -167.456909, 422.740540, -53.840027, -172.124451, 423.292755, -49.842365, -174.389969, 423.451508, -45.443306, -172.918259, 423.123840, -43.227768, -168.580246, 422.501648, -44.181782, -163.709641, 422.175720, -48.470219, -161.671219, 421.790680, -52.857979, -163.130432, 422.118347, 1.854952, -165.389343, 415.434631, 3.193541, -170.220688, 417.351776, 6.927125, -172.619736, 419.692230, 10.880359, -171.137604, 421.084961, 12.699410, -166.635345, 420.714172, 11.306906, -161.793808, 418.797028, 7.556715, -159.456314, 416.456604, 3.288876, -160.615250, 415.093475, -22.671921, -146.123993, 470.301819, -0.042712, -0.067177, -0.035047, 
20069,1089,384,0,0,32,0,0,7, 1, 0.975000, 0.277016, 0.137408, -0.950990, 0.035557, 0.135802, -0.990098, -55.142998, -167.802887, 423.639282, -53.861660, -172.437469, 424.090027, -49.840424, -174.634811, 424.100677, -45.444923, -173.102020, 423.665009, -43.255527, -168.747269, 423.038208, -44.234928, -163.911346, 422.808594, -48.551716, -161.937943, 422.576813, -52.939381, -163.456192, 423.012482, 1.892497, -165.718628, 416.034912, 3.276231, -170.535995, 417.920959, 7.037500, -172.905579, 420.228882, 10.984317, -171.396408, 421.606750, 12.766979, -166.885498, 421.247406, 11.329949, -162.058212, 419.361389, 7.552705, -159.749313, 417.053467, 3.288329, -160.940125, 415.709686, -22.621840, -146.158020, 470.344208, -0.041323, -0.066003, -0.035730, 
20102,1089,384,0,0,32,0,0,8, 1, 0.975000, 0.266540, 0.131830, -0.954766, 0.018707, 0.142585, -0.989606, -55.303726, -167.868057, 423.918762, -54.037228, -172.463272, 424.282867, -50.037178, -174.639175, 424.209320, -45.656792, -173.117096, 423.741180, -43.465973, -168.799026, 423.152679, -44.423523, -164.007492, 423.009857, -48.723736, -162.048203, 422.862122, -53.098618, -163.555649, 423.330261, 1.749601, -166.427078, 418.333496, 3.145056, -171.219345, 420.103241, 6.907462, -173.594803, 422.320862, 10.844419, -172.121277, 423.687317, 12.614097, -167.653793, 423.402130, 11.168264, -162.849945, 421.632355, 7.389497, -160.531921, 419.414734, 3.133360, -161.694092, 418.094299, -22.676037, -146.312698, 470.701721, -0.048767, -0.065112, -0.036575, 
20136,1089,384,0,0,32,0,0,9, 1, 0.975000, 0.189669, 0.136053, -0.972376, -0.088797, 0.167777, -0.981818, -59.254620, -177.825714, 450.045746, -58.110241, -182.473160, 450.771576, -54.235577, -184.822678, 451.188843, -49.905991, -183.486679, 451.053192, -47.668873, -179.253510, 450.444000, -48.538219, -174.397934, 449.951538, -52.695835, -172.280716, 449.300903, -57.009567, -173.608582, 449.436584, 0.104892, -172.244690, 435.185150, 1.679985, -176.912567, 436.417969, 5.689092, -179.137512, 437.836273, 9.788478, -177.590408, 438.609283, 11.552361, -173.173813, 438.284149, 9.942811, -168.500702, 437.051331, 5.927018, -166.312195, 435.633026, 1.514877, -167.573578, 434.991486, -22.971262, -146.958008, 473.402435, -0.053885, -0.064717, -0.038445, 
20157,1089,384,0,0,32,0,0,10, 1, 0.975000, 0.165815, 0.133306, -0.977105, -0.121763, 0.147116, -0.981596, -60.401962, -180.518372, 456.826202, -59.184914, -185.128937, 457.627289, -55.273899, -187.356873, 457.936340, -50.969685, -185.886047, 457.572327, -48.804569, -181.587830, 456.748474, -49.738758, -176.754761, 456.156433, -53.934326, -174.778763, 455.638336, -58.223076, -176.235764, 456.002350, -0.437535, -175.066589, 441.959167, 1.252033, -179.639496, 443.090149, 5.355448, -181.666504, 444.136780, 9.467137, -179.939789, 444.485931, 11.158398, -175.473373, 443.933105, 9.440382, -170.904114, 442.802124, 5.339596, -168.906052, 441.755493, 0.923690, -170.350174, 441.564331, -23.130611, -146.991837, 474.055603, -0.053160, -0.064217, -0.038667, 
