millis,mouseX,mouseY,target_x,target_y,target_size,click,Success,frame_number,landmark_detection_success,landmark_detection_confidence,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,eye_lmk_X_0,eye_lmk_Y_0,eye_lmk_Z_0,eye_lmk_X_1,eye_lmk_Y_1,eye_lmk_Z_1,eye_lmk_X_2,eye_lmk_Y_2,eye_lmk_Z_2,eye_lmk_X_3,eye_lmk_Y_3,eye_lmk_Z_3,eye_lmk_X_4,eye_lmk_Y_4,eye_lmk_Z_4,eye_lmk_X_5,eye_lmk_Y_5,eye_lmk_Z_5,eye_lmk_X_6,eye_lmk_Y_6,eye_lmk_Z_6,eye_lmk_X_7,eye_lmk_Y_7,eye_lmk_Z_7,eye_lmk_X_28,eye_lmk_Y_28,eye_lmk_Z_28,eye_lmk_X_29,eye_lmk_Y_29,eye_lmk_Z_29,eye_lmk_X_30,eye_lmk_Y_30,eye_lmk_Z_30,eye_lmk_X_31,eye_lmk_Y_31,eye_lmk_Z_31,eye_lmk_X_32,eye_lmk_Y_32,eye_lmk_Z_32,eye_lmk_X_33,eye_lmk_Y_33,eye_lmk_Z_33,eye_lmk_X_34,eye_lmk_Y_34,eye_lmk_Z_34,eye_lmk_X_35,eye_lmk_Y_35,eye_lmk_Z_35,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz
17677,960,540,0,0,32,0,0,1, 1, 0.975000, 0.184293, 0.444203, -0.876767, 0.069792, 0.653588, -0.753626, -183.223389, -144.217422, 617.170959, -184.720428, -148.950287, 618.150269, -182.487122, -153.075150, 618.350525, -177.837067, -154.161133, 617.654541, -173.508453, -151.577316, 616.469849, -171.608917, -146.796387, 615.671448, -174.257523, -142.747650, 615.290222, -178.887314, -141.654251, 615.986267, -114.226768, -152.801620, 532.618103, -115.123634, -157.376389, 532.229553, -112.404327, -160.950058, 531.257629, -107.677353, -161.432556, 530.271667, -103.709145, -158.557068, 529.849243, -102.808670, -154.004669, 530.237793, -105.505974, -150.426239, 531.209717, -110.326630, -149.626816, 532.542358, -108.707771, -111.703583, 545.575195, 0.576472, 0.079434, -0.602973, 
17876,960,540,0,0,32,0,0,2, 0, 0.325000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -86.245956, -93.825417, 314.834320, -84.489548, -98.050163, 314.878662, -81.798355, -100.817642, 317.152100, -79.700020, -100.483017, 320.322937, -79.454788, -97.170212, 322.533691, -81.366501, -92.784729, 322.940155, -84.015434, -90.109535, 320.215912, -86.069824, -90.546120, 317.045105, -38.586723, -96.453079, 316.509796, -37.187389, -100.779503, 316.233795, -33.843307, -103.722389, 317.836548, -30.461874, -103.550812, 320.379181, -29.037270, -100.303299, 322.372253, -30.455503, -95.889183, 322.648285, -33.872459, -92.956200, 321.045532, -37.632587, -92.983917, 318.669006, -105.786453, -105.744469, 531.478760, 0.577951, 0.120014, -0.594406, 
17923,960,540,0,0,32,0,0,3, 1, 0.875000, 0.276605, 0.485835, -0.829128, 0.137130, 0.483142, -0.864737, -175.971024, -103.361717, 589.568298, -177.723297, -107.945633, 589.737244, -175.708160, -111.909798, 588.244873, -171.131088, -112.920219, 585.965271, -166.686447, -110.414352, 584.233948, -164.447891, -105.882324, 584.119263, -166.932480, -101.924492, 585.557373, -171.490967, -100.872581, 587.836975, -119.512962, -131.666138, 528.851563, -121.666580, -136.282593, 530.700745, -120.018967, -140.826859, 531.862488, -115.527863, -142.611023, 531.656128, -110.851669, -140.581818, 530.202637, -108.737007, -135.953842, 528.353394, -110.395065, -131.446259, 527.191711, -114.826393, -129.191788, 527.516418, -114.684006, -94.365204, 562.146484, 0.554575, 0.013903, -0.728013, 
17945,960,540,0,0,32,0,0,4, 1, 0.875000, 0.217635, 0.408544, -0.886412, 0.081424, 0.529766, -0.844226, -168.067780, -99.885223, 560.701782, -169.705795, -104.360771, 561.061829, -167.651962, -108.383987, 560.378662, -163.124481, -109.587387, 559.052490, -158.786179, -107.282227, 557.860107, -156.717346, -102.829628, 557.641174, -159.195892, -98.821579, 558.183228, -163.708206, -97.595276, 559.509399, -113.581024, -123.005661, 496.870026, -115.598587, -127.490997, 497.732910, -113.937973, -131.848877, 497.912537, -109.575378, -133.510071, 497.303650, -105.082664, -131.504959, 496.262939, -103.088158, -127.024612, 495.400055, -104.743896, -122.689987, 495.220428, -109.070244, -120.620399, 496.051514, -115.575195, -95.660828, 569.164917, 0.550940, 0.014142, -0.740958, 
17989,960,540,0,0,32,0,0,5, 1, 0.875000, 0.206445, 0.414884, -0.886144, 0.072394, 0.534470, -0.842081, -168.314911, -100.806183, 565.489014, -169.916550, -105.289108, 565.843567, -167.834473, -109.284538, 565.114441, -163.304031, -110.441307, 563.728760, -158.989731, -108.098717, 562.498169, -156.954102, -103.636322, 562.278564, -159.463120, -99.659470, 562.872742, -163.978470, -98.478737, 564.258484, -112.963257, -122.175774, 496.581146, -114.972076, -126.667427, 497.456299, -113.301147, -131.023300, 497.633575, -108.932899, -132.674988, 497.009155, -104.442757, -130.658707, 495.948792, -102.457375, -126.172302, 495.073669, -104.123177, -121.840111, 494.896393, -108.454338, -119.778740, 495.742310, -115.596817, -95.838860, 573.386719, 0.565313, 0.029225, -0.744616, 
18011,960,540,0,0,32,0,0,6, 1, 0.875000, 0.207602, 0.402566, -0.891539, 0.071611, 0.525105, -0.848019, -165.574615, -98.823853, 558.581482, -167.208160, -103.291512, 558.948792, -165.161179, -107.305847, 558.259766, -160.647949, -108.504410, 556.918091, -156.323196, -106.201477, 555.709656, -154.258362, -101.756371, 555.480957, -156.730530, -97.758133, 556.031372, -161.228333, -96.536385, 557.373047, -111.973198, -121.787567, 495.957520, -113.989388, -126.261803, 496.835754, -112.336876, -130.613419, 497.024963, -107.987061, -132.276596, 496.414276, -103.504532, -130.280518, 495.361481, -101.511726, -125.811127, 494.483215, -103.159485, -121.483109, 494.294006, -107.471016, -119.411079, 495.124817, -115.643845, -96.378654, 577.333252, 0.551367, 0.021894, -0.748732, 
18044,960,540,0,0,32,0,0,7, 1, 0.875000, 0.219712, 0.383249, -0.897133, 0.079227, 0.513063, -0.854687, -165.039673, -98.616005, 561.770691, -166.797791, -103.056541, 562.208374, -164.867432, -107.157707, 561.664917, -160.392288, -108.505493, 560.458618, -156.005356, -106.324249, 559.296143, -153.821701, -101.911346, 559.008362, -156.175415, -97.818565, 559.401855, -160.634338, -96.451172, 560.608154, -113.877625, -124.624893, 507.858551, -115.918068, -129.071274, 508.683014, -114.297699, -133.420837, 508.827606, -109.969330, -135.110062, 508.207672, -105.483902, -133.153107, 507.186310, -103.465355, -128.711975, 506.361877, -105.080627, -124.384476, 506.217255, -109.369530, -122.290817, 507.062408, -116.126007, -97.983597, 584.590881, 0.522141, 0.005176, -0.760973, 
18076,960,540,0,0,32,0,0,8, 1, 0.975000, 0.237470, 0.361323, -0.901695, 0.097140, 0.496462, -0.862606, -163.769913, -97.498169, 563.070557, -165.653519, -101.908836, 563.558350, -163.840454, -106.090767, 563.126709, -159.403946, -107.582169, 562.028503, -154.954758, -105.521301, 560.907104, -152.649719, -101.144936, 560.578796, -154.885254, -96.962547, 560.850952, -159.304962, -95.454353, 561.949158, -114.485443, -125.677605, 513.654236, -116.625435, -130.085190, 514.484863, -115.105179, -134.485046, 514.680786, -110.817490, -136.284607, 514.127197, -106.289124, -134.432098, 513.148438, -104.170464, -130.027847, 512.317810, -105.687515, -125.649445, 512.121887, -109.929047, -123.445976, 512.898682, -116.340851, -99.296555, 591.672180, 0.489659, -0.021011, -0.779277, 
18109,960,540,0,0,32,0,0,9, 1, 0.975000, 0.253305, 0.319742, -0.913018, 0.109139, 0.467149, -0.877417, -162.277527, -96.165314, 563.385559, -164.362183, -100.587608, 564.247559, -162.718460, -104.925835, 564.143311, -158.317062, -106.621841, 563.134033, -153.752594, -104.690231, 561.810852, -151.244446, -100.292542, 561.103149, -153.323776, -95.965134, 561.053101, -157.702057, -94.257660, 562.062439, -113.848480, -126.060242, 514.453735, -116.128250, -130.477356, 515.505493, -114.719772, -134.980972, 515.862122, -110.448540, -136.914658, 515.314697, -105.834717, -135.145996, 514.183838, -103.580666, -130.729294, 513.132080, -104.988564, -126.251503, 512.775452, -109.190277, -123.901253, 513.526855, -114.823853, -100.183769, 593.479004, 0.440371, -0.035544, -0.815341, 
18131,960,540,0,0,32,0,0,10, 1, 0.975000, 0.243416, 0.296814, -0.923390, 0.103148, 0.450465, -0.886816, -161.144974, -96.143929, 567.225830, -163.377213, -100.519981, 568.353516, -161.887375, -104.934586, 568.431091, -157.554062, -106.781311, 567.413147, -152.935272, -104.984261, 565.895996, -150.275467, -100.631195, 564.909058, -152.212189, -96.230812, 564.690735, -156.517807, -94.375748, 565.708618, -114.505943, -127.290016, 519.886475, -116.905510, -131.661133, 521.133606, -115.627419, -136.216797, 521.585449, -111.419754, -138.267303, 520.977295, -106.768211, -136.610611, 519.665405, -104.398178, -132.238174, 518.418274, -105.677071, -127.712242, 517.966431, -109.788406, -125.239418, 518.760559, -113.991463, -101.368347, 598.168457, 0.421500, -0.034153, -0.841493, 
